2019-09-26T09:00:42.470036856Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:00:42.469961Z"}
2019-09-26T09:00:54.189778642Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:00:54.189647Z"}
2019-09-26T09:01:12.474330999Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:01:12.474247Z"}
2019-09-26T09:01:24.19071353Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:01:24.190554Z"}
2019-09-26T09:01:42.466015031Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:01:42.465806Z"}
2019-09-26T09:01:54.189489439Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:01:54.189412Z"}
2019-09-26T09:02:12.454009379Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:02:12.453840Z"}
2019-09-26T09:02:24.183371882Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:02:24.183269Z"}
2019-09-26T09:02:42.457054904Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:02:42.456962Z"}
2019-09-26T09:02:54.191615363Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:02:54.191501Z"}
2019-09-26T09:03:12.471126106Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:03:12.471045Z"}
2019-09-26T09:03:24.1892474Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:03:24.189115Z"}
2019-09-26T09:03:42.454300804Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:03:42.454096Z"}
2019-09-26T09:03:54.184940091Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:03:54.184803Z"}
2019-09-26T09:04:12.45894387Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:04:12.458537Z"}
2019-09-26T09:04:24.190005804Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:04:24.189379Z"}
2019-09-26T09:04:42.453933806Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:04:42.453822Z"}
2019-09-26T09:04:54.218883837Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:04:54.218800Z"}
2019-09-26T09:05:12.453345147Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:05:12.453242Z"}
2019-09-26T09:05:24.182148132Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:05:24.182072Z"}
2019-09-26T09:05:42.473523678Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:05:42.473420Z"}
2019-09-26T09:05:54.188039954Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:05:54.187815Z"}
2019-09-26T09:06:12.452686993Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:06:12.452615Z"}
2019-09-26T09:06:24.199220899Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:06:24.199067Z"}
2019-09-26T09:06:42.453752015Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:06:42.453645Z"}
2019-09-26T09:06:54.184220296Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:06:54.184103Z"}
2019-09-26T09:07:12.46994719Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:07:12.469860Z"}
2019-09-26T09:07:24.196019368Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:07:24.195131Z"}
2019-09-26T09:07:42.457192123Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:07:42.457101Z"}
2019-09-26T09:07:54.192463132Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:07:54.192322Z"}
2019-09-26T09:08:12.455706754Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:08:12.455616Z"}
2019-09-26T09:08:24.190862153Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:08:24.190780Z"}
2019-09-26T09:08:42.465106011Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:08:42.464964Z"}
2019-09-26T09:08:54.185001653Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:08:54.184070Z"}
2019-09-26T09:09:12.4518031Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:09:12.451711Z"}
2019-09-26T09:09:24.182165293Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:09:24.182029Z"}
2019-09-26T09:09:42.451945215Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:09:42.451717Z"}
2019-09-26T09:09:54.182653252Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:09:54.182580Z"}
2019-09-26T09:10:12.463559456Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:10:12.463490Z"}
2019-09-26T09:10:24.182191019Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:10:24.182120Z"}
2019-09-26T09:10:42.451661605Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:10:42.451576Z"}
2019-09-26T09:10:54.184155926Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:10:54.184068Z"}
2019-09-26T09:11:12.451467657Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:11:12.451395Z"}
2019-09-26T09:11:24.181344127Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:11:24.181263Z"}
2019-09-26T09:11:42.45097275Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:11:42.450886Z"}
2019-09-26T09:11:54.182997459Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:11:54.182664Z"}
2019-09-26T09:12:12.45203665Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:12:12.451924Z"}
2019-09-26T09:12:24.180053813Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:12:24.179988Z"}
2019-09-26T09:12:42.453548406Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:12:42.453475Z"}
2019-09-26T09:12:54.181512463Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:12:54.181450Z"}
2019-09-26T09:13:12.454716589Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:13:12.453026Z"}
2019-09-26T09:13:24.183245064Z {"component":"virt-handler","level":"info","msg":"No VMIs detected","pos":"prometheus.go:446","timestamp":"2019-09-26T09:13:24.183143Z"}
